OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt
6,1309,2,1040,1,1974
6,1258,1,560,1,1939
5,1422,1,978,1,1960
6,1442,1,1442,1,1958
5,1200,1,768,1,1946
6,1664,2,953,2,2000
5,1360,2,384,1,1955
8,1414,2,707,2,2004
6,1342,2,1372,2,1967
5,1118,2,793,1,1939
6,2345,2,952,2,1932
6,1844,2,1844,2,1977
6,987,1,483,1,1971
6,1610,2,1610,2,1977
6,1080,2,1084,1,1983
4,1622,4,1249,1,1961
6,1511,2,802,2,1997
5,1152,2,1152,1,1964
5,1558,1,910,1,1950
8,1911,2,777,2,1993
5,1306,1,992,1,1957
5,2138,2,849,2,1898
8,2466,2,1580,3,2004
6,1734,2,912,1,1962
6,1158,1,862,1,1929
5,1771,2,0,1,1960
6,958,2,1078,2,1976
9,1828,3,1822,2,2007
5,1716,1,768,1,1949
9,2713,3,1452,2,2008
6,1367,1,884,1,1931
7,1826,1,910,1,1915
6,1200,2,1200,2,1995
5,1382,2,720,1,1941
6,1456,2,728,2,2005
8,2448,3,1629,2,1994
5,1964,0,940,1,1911
6,1092,2,1092,1,1964
5,1113,1,1113,1,1950
4,864,0,864,1,1971
7,1804,2,994,2,1999
5,1632,2,1632,2,1967
6,2614,2,1522,2,1974
7,1314,2,1314,2,2007
7,1923,2,750,2,1992
7,1484,2,1473,2,2004
4,708,0,420,1,1940
8,1713,3,1713,2,2004
5,1269,1,1269,1,1960
8,2097,3,2077,1,2005
5,864,1,864,1,1972
9,2184,3,1104,2,2008
8,1624,3,1624,2,1994
5,1040,1,1040,1,1965
7,2035,2,884,2,2001
8,1494,2,1494,1,1995
7,1314,2,1314,2,2007
6,1743,2,702,1,1968
7,2127,3,1104,2,1991
5,1716,0,780,2,1912
7,1358,2,1358,2,2009
7,1430,2,384,2,2000
7,1221,2,1221,2,2004
7,2094,2,912,2,2003
5,864,1,864,1,1965
5,1053,2,1008,1,1958
5,1701,2,1390,2,1975
5,1056,1,1056,1,1958
3,1163,1,1162,1,1955
7,1665,2,813,2,2007
6,1196,2,684,1,1920
9,3140,3,1926,3,2008
7,1682,2,1304,2,1970
5,1072,2,547,1,2005
7,1547,2,756,2,2009
9,1905,3,1905,2,2006
7,1661,2,799,2,1996
6,1350,2,1248,1,1964
6,1845,2,1055,2,1992
5,1601,1,533,1,1958
6,1498,2,691,2,1995
7,1947,2,991,2,2004
5,1098,1,1098,1,1955
6,1054,2,1054,1,1969
5,928,1,928,1,1957
7,1820,1,1026,2,1925
7,3082,2,824,2,1920
4,1788,1,1104,1,1957
5,1022,1,1022,1,1910
7,1274,2,1274,2,2005
9,2504,3,1122,2,2005
9,2153,3,1440,2,2000
8,2031,2,1128,2,2002
6,1824,2,764,1,1919
5,1008,1,1008,1,1954
5,694,1,440,1,1913
6,1728,2,1728,2,1976
7,1588,2,1588,2,1999
5,1392,2,1392,1,1957
10,4476,3,2396,3,1996
7,1969,2,808,2,1977
7,1504,2,1346,2,2005
5,1276,1,1276,1,1958
9,1800,2,1800,2,2007
6,816,0,816,1,1990
5,1040,2,0,1,1950
5,924,1,924,1,1975
6,832,2,832,1,1954
7,1886,2,930,2,1998
7,2196,3,2158,2,1990
5,1039,2,1039,1,1965
5,1271,1,720,2,1948
5,1367,1,861,1,1900
7,2093,2,791,2,1986
5,864,1,864,1,1972
6,2447,1,804,2,1919
6,1054,2,936,1,1963
5,1120,0,1120,1,2007
7,1616,3,1616,2,2005
5,1073,2,1073,1,1965
5,1389,2,1389,1,1974
4,861,2,861,1,1940
7,1135,2,560,1,1936
8,2828,3,1466,3,2006
8,1616,2,1595,2,1995
5,1437,2,1437,2,1976
7,1630,2,1630,2,2000
8,1800,3,1800,2,2002
6,1855,2,528,2,1976
6,1675,2,841,2,1999
7,2084,2,956,2,2004
5,1111,1,616,1,1941
3,729,0,270,1,1935
6,1586,2,1362,2,1979
9,2234,3,2216,2,2008
4,858,0,858,1,1971
5,833,0,833,1,1985
5,1283,2,931,1,1962
6,1644,2,1416,1,1953
6,1383,1,1383,1,1960
6,2073,2,1542,2,1978
5,1539,2,650,2,1904
7,1552,3,1552,2,2005
5,925,1,925,1,1965
7,1414,2,1414,2,2004
3,1526,0,1013,1,1915
5,1712,2,1626,2,1959
8,1717,3,1709,2,2006
5,1750,1,636,1,1880
6,1176,2,698,1,1937
8,1936,2,1406,2,2000
4,858,1,858,1,1971
8,1919,2,1079,2,2006
7,1762,2,596,1,1920
5,1728,2,1728,2,1965
7,1626,2,764,2,2003
7,1496,2,654,2,2006
6,790,1,768,1,1930
7,1935,2,793,2,1976
7,1964,2,803,2,1976
8,1666,1,588,1,1925
5,985,1,985,2,1977
7,1358,2,1358,2,2004
6,848,2,848,1,2004
8,1970,3,1085,2,2006
8,2046,3,2046,2,2008
7,1865,3,992,2,2000
6,2134,2,844,2,1916
7,2646,3,1347,2,1993
6,1236,2,912,1,1957
5,902,2,864,1,1983
5,912,1,912,1,1962
6,1656,2,1080,1,1960
6,1382,2,1362,1,1962
5,2020,2,0,2,1977
6,1052,2,1010,1,1971
8,2531,3,1318,2,1995
8,1852,3,1004,2,1999
8,1660,2,1660,2,2006
9,1709,2,1698,2,1999
6,912,1,912,1,1961
6,1764,2,928,2,1997
6,1395,2,723,1,1972
5,1040,1,1040,1,1963
10,2392,3,2392,2,2003
6,1103,2,1103,1,1925
8,2078,3,1034,2,2007
5,803,2,720,1,1941
6,1152,1,1092,1,1950
7,1173,2,1053,2,1974
4,1092,0,0,2,1930
5,1784,1,747,1,1914
7,1920,2,570,3,1968
7,1670,3,1670,2,2006
7,1223,2,600,2,2005
7,1801,2,1501,2,1959
5,1656,2,1656,2,1973
7,1717,3,756,1,1915
9,2599,3,1393,2,1999
5,1644,1,728,1,1942
8,2468,3,1136,2,2004
5,1362,2,796,1,1993
8,1484,2,1476,2,2006
5,1200,2,864,1,1965
6,1350,2,1064,2,1974
4,1152,0,0,2,1955
7,1680,2,1650,2,1998
5,1440,1,540,1,1900
5,1214,1,1214,2,1967
6,1479,2,725,2,1976
8,1801,3,893,2,2005
6,1494,1,771,1,1942
7,2329,2,1475,2,1990
8,1588,3,1588,2,2006
6,1194,2,655,1,1959
6,1494,2,1479,2,1997
8,3238,3,2033,2,1995
5,914,2,870,1,1996
7,1641,2,728,1,1925
5,1573,2,1078,2,1930
7,1472,2,1372,2,1980
6,1750,1,983,2,1940
8,1768,2,866,2,2007
6,1196,1,1196,1,1956
4,1126,2,0,2,1949
4,845,1,0,1,1957
5,1968,2,784,2,1969
5,1221,1,784,1,1924
6,1368,1,684,1,1910
6,987,1,483,1,1970
7,1442,2,910,2,1990
4,1220,2,836,1,1951
7,1500,2,1500,2,2004
8,2450,3,1284,2,1998
7,2207,2,1947,2,1970
7,1208,2,1187,2,2006
5,1795,1,1050,2,1954
4,1440,0,1440,2,1977
6,1212,2,1212,2,2009
7,1111,1,572,1,1926
8,2715,2,1142,3,1976
7,1724,2,880,2,1998
6,1328,2,1328,1,1963
5,1052,1,1052,1,1968
8,2417,2,1288,2,1991
4,948,1,948,1,1954
7,2019,2,728,1,1910
4,869,0,440,1,1923
8,1554,2,1554,2,2006
6,2112,2,952,2,1969
5,1416,2,816,2,1918
6,1593,2,839,2,2004
6,1381,2,1161,1,1972
6,1632,1,1240,2,1958
5,954,1,920,1,1938
7,1922,2,0,3,2003
5,980,2,980,1,1977
7,1786,2,920,2,2001
8,1694,2,1686,2,2004
6,972,1,972,1,1948
5,1437,2,1188,1,1956
8,2263,2,1055,2,2001
7,1725,2,539,2,1979
5,1236,1,1070,1,1957
5,1040,1,1040,1,1959
8,1704,3,1704,2,2007
6,1523,2,1193,2,1976
8,1489,2,1489,2,2006
7,1569,3,1386,2,2007
7,1212,2,1212,2,2001
7,1573,2,1573,2,2002
6,1790,2,732,1,1972
5,1576,2,1324,1,1923
6,1728,2,864,2,2003
8,1600,3,1566,2,2007
9,1922,3,1922,2,2005
7,1692,2,846,2,2009
8,1656,3,1656,2,2006
4,1047,1,641,1,1885
9,2728,3,1848,2,2005
6,1425,2,1425,2,1964
6,952,1,952,1,1916
5,990,2,990,1,1995
6,988,2,938,1,1969
4,1056,1,1056,1,1966
9,1746,3,1746,2,2006
7,1718,2,832,2,1998
5,1464,2,520,2,1963
7,1660,2,831,2,2002
9,1752,2,1752,2,2005
5,2620,2,1361,2,1977
10,4676,3,3138,3,2007
5,784,0,784,1,1924
4,1120,2,1040,1,1961
4,1382,2,1051,1,1963
6,1386,2,672,2,1978
1,334,0,0,1,1946
7,1200,2,600,2,2004
7,1414,2,1375,2,2004
5,1584,3,1584,2,1967
8,1517,2,792,1,1929
6,1258,2,1258,2,1971
5,902,1,876,1,1967
6,1158,2,1158,1,2004
5,964,2,876,1,1921
6,2380,2,1021,2,1965
7,1232,2,1232,2,2007
5,864,1,864,1,1972
7,1982,2,807,2,1989
8,1924,2,1086,2,1998
7,2080,1,1276,1,1926
6,1647,2,953,2,1999
6,1617,2,1604,2,1993
5,1340,1,0,1,1957
9,1940,3,1930,2,2009
6,1855,1,994,2,1954
5,884,2,840,1,1983
7,1626,2,764,2,2003
5,1284,1,720,1,1947
8,2290,2,1128,2,2002
5,816,2,816,1,1963
7,2183,3,1204,2,1988
5,1869,2,1088,1,1890
7,1646,1,918,2,1941
8,1844,2,1844,2,2005
8,1571,3,1571,2,2007
7,2082,2,1362,2,2003
7,1959,3,1907,3,1988
8,2374,3,1181,2,2003
6,2142,1,896,2,1968
7,1200,2,600,2,2005
8,1992,2,1053,2,2003
8,2285,3,969,2,2000
7,1824,2,1643,2,1971
9,1850,3,1833,2,2004
5,1355,0,644,2,1940
7,1668,2,840,2,2003
6,1406,0,319,1,1920
6,1888,2,1517,2,1966
8,1228,2,1228,2,1988
6,1638,2,943,2,1998
4,960,1,960,1,1965
9,1698,3,1698,2,2007
5,1063,1,1056,1,1954
5,1236,1,912,1,1961
5,1535,2,0,2,1979
4,630,0,630,1,1972
4,1092,1,546,1,1970
9,1652,2,1652,2,2006
5,1144,2,1144,1,1961
8,1795,3,1795,2,2006
7,1541,3,1541,2,2001
5,1507,1,1075,2,1960
8,1441,2,776,2,1999
7,1479,2,1468,2,1999
6,987,1,483,1,1971
4,672,1,672,1,1941
5,2192,1,720,2,1939
8,2000,3,2000,2,2004
5,1125,2,1125,1,2006
5,1124,0,0,1,1954
6,1839,2,1477,2,1957
6,2144,2,1444,2,1958
7,2260,2,1306,2,1996
6,1977,2,816,1,1964
4,845,2,845,1,1982
6,1786,2,824,2,1997
6,2555,2,588,2,1922
5,1700,2,1398,1,1959
6,1671,2,959,2,2000
6,1376,1,780,2,1937
6,1689,2,1436,1,1956
7,2554,2,718,1,1890
5,1416,3,876,1,1915
5,816,1,816,1,1957
7,1370,2,1090,2,1976
6,1442,2,1442,2,1970
5,1285,1,672,1,1948
7,1474,2,384,2,1995
7,2013,2,1117,2,1996
8,1563,3,1563,2,2007
4,1663,2,1364,1,1954
4,1192,0,720,1,1949
4,1774,3,1095,2,1900
7,1962,3,1391,2,2006
7,1302,2,1302,2,2007
6,1118,2,648,1,1920
9,1766,3,1766,2,2009
7,1253,2,1237,2,1995
6,1097,2,1040,2,1984
5,1078,2,1078,1,1971
6,1572,2,806,2,1995
7,1524,2,1332,0,1979
7,2060,2,992,2,1999
6,1344,2,819,1,1958
7,1818,1,1040,1,1931
4,1029,1,1029,1,1961
6,2521,2,942,2,1973
6,1500,2,750,2,2005
8,2217,2,2217,2,1970
8,1370,2,1370,2,2006
6,1262,2,1262,2,2006
7,1894,2,817,2,2002
8,1694,3,1694,2,2007
4,864,2,864,1,1971
6,1709,2,970,2,2004
4,1738,1,715,2,1920
5,1319,1,608,1,1953
7,3222,3,1673,3,1990
6,1355,0,684,1,1914
3,1306,0,728,1,1940
5,768,2,768,1,1972
5,1077,1,991,1,1939
3,1183,1,649,1,1948
7,1456,2,728,2,2007
7,2291,2,975,2,1999
6,848,2,848,1,2003
10,2332,3,1682,2,2007
5,1348,1,884,1,1925
6,2108,2,1127,2,1935
4,1336,1,637,1,1920
10,5642,2,6110,2,2008
5,1344,1,1024,1,1958
8,1935,2,832,2,2009
4,1470,1,941,2,1954
7,2156,2,1568,2,1968
5,1728,2,1728,2,1963
7,1768,2,866,2,2005
5,1048,1,1048,1,1956
7,1728,2,864,2,2004
8,2358,0,684,2,1872
7,1146,2,868,2,2003
8,1601,2,1581,2,2001
5,1920,2,1052,2,1958
4,1363,2,622,1,1910
5,1148,1,980,1,1952
7,1294,2,1286,2,2006
5,1248,1,912,1,1930
8,1419,2,408,2,2002
6,1440,2,1440,2,1981
5,1140,0,1140,1,2006
7,2090,2,1107,2,1973
7,1640,2,798,2,2003
6,1679,2,1408,2,1994
6,1218,2,735,1,1941
5,1142,2,1142,1,1976
5,1110,2,1097,1,1978
5,1164,1,1164,1,1950
5,1192,1,596,1,1920
7,1422,2,1422,2,2004
5,894,2,894,1,1967
8,1953,3,1082,2,2005
7,1792,2,963,2,2001
4,924,1,672,1,1941
6,752,1,744,1,1984
7,1740,1,800,1,1940
6,1593,2,808,2,1992
5,1385,2,910,2,1952
7,1266,2,1257,2,2005
7,2021,2,868,2,2006
6,1334,2,1350,2,1977
7,1252,2,600,2,1999
6,2526,1,714,2,1916
10,2402,3,3094,2,2008
6,1362,2,611,2,1920
10,3627,3,1930,3,1995
7,2520,3,1203,2,1995
3,944,2,0,1,1952
5,912,1,912,1,1967
7,1553,2,756,2,2005
4,948,1,864,1,1954
7,1852,2,900,2,2009
5,1230,2,440,1,1910
7,1080,0,1080,1,2004
5,1250,1,686,1,1918
6,1611,2,780,1,1964
7,1949,2,1050,2,1993
6,1369,1,672,2,1925
7,1482,2,384,2,1992
5,1048,1,993,1,1922
7,1372,2,1372,2,2007
8,1296,2,1267,2,2001
5,990,1,990,1,1994
6,1489,1,778,2,1940
7,2172,3,1063,2,2006
7,1266,2,1266,2,2007
6,1218,2,1218,2,2009
6,932,1,932,1,1950
6,1322,2,855,2,1974
6,1635,1,485,1,1910
6,1478,2,1478,2,1960
5,1184,0,658,1,1910
7,1710,2,856,2,2003
6,912,2,888,1,1978
5,2126,2,1013,2,1967
5,1394,2,384,2,2006
5,970,2,970,1,1963
6,1034,3,1012,1,1976
7,1720,2,860,2,2004
5,1387,1,811,2,1954
6,1357,1,1019,1,1959
5,1264,2,1268,1,1960
6,1484,2,742,2,2005
7,1767,2,1064,2,1987
6,813,1,813,1,1930
6,754,0,520,1,1935
7,2069,2,585,2,1960
6,1509,2,1461,2,1988
6,1481,2,702,2,1994
4,960,2,960,1,1970
4,1040,2,0,1,1950
4,1040,2,0,2,1949
7,1802,1,793,1,1920
8,2610,2,1184,2,2007
5,1466,2,1466,1,1959
5,1652,1,686,2,1915
7,2097,3,1080,2,1993
8,1625,2,1573,2,2006
7,2287,2,1304,2,1953
9,2822,3,1734,3,2008
6,2054,2,992,2,2000
5,1336,1,1165,1,1953
4,894,2,894,1,1954
8,1719,2,1719,1,1993
7,2127,2,1223,2,1994
6,1251,1,1251,1,1964
5,912,1,912,1,1958
3,968,0,600,1,1910
7,1829,2,941,2,2003
6,1574,2,796,2,1976
4,720,0,720,1,1920
9,1980,3,1980,2,2004
7,1621,2,1208,2,1984
6,1602,2,1602,2,1977
6,1616,1,1149,2,1926
5,1600,1,1484,1,1957
6,2119,2,689,2,1972
7,1709,2,970,2,2004
7,2110,2,2110,2,1968
3,774,0,544,1,1931
4,796,0,796,1,1922
8,1707,2,1686,2,1981
8,2161,3,1582,1,2007
7,1716,2,880,2,1996
6,1362,2,1362,1,1961
6,1796,2,794,2,1998
8,1652,2,1600,2,2008
7,1482,2,650,1,1920
5,1015,1,768,1,1925
6,1578,1,806,1,1941
5,1086,2,1086,1,1954
6,1218,0,672,1,1971
5,860,2,840,1,1982
4,1140,0,576,1,1910
7,1502,1,776,1,1931
6,1165,2,1127,1,1966
6,1960,2,860,2,2002
7,2031,2,1153,2,1998
6,1392,1,689,1,1977
7,1541,2,1541,2,2005
5,1327,2,1063,1,1959
4,1324,1,672,1,1936
6,1552,2,713,2,1975
8,2810,2,1453,2,1990
10,3608,3,1107,2,1892
5,1328,1,1350,1,1959
7,2519,2,1210,2,1989
5,1517,0,793,2,1919
5,1057,1,1057,1,1953
8,2132,2,1496,1,1983
8,1629,3,1616,2,2002
5,1188,2,1188,1,1959
8,1464,3,1485,2,2007
6,1216,2,1216,2,1998
8,1634,3,1626,2,2006
5,924,2,672,1,1949
5,1060,1,1060,1,1968
6,1548,2,804,2,1976
2,438,1,290,1,1920
4,747,1,747,1,1945
5,892,1,892,1,1967
5,1190,2,1106,1,1962
6,1394,2,1394,1,1963
5,1960,2,960,2,1952
6,848,2,848,1,2003
7,1339,2,1309,2,1990
6,784,2,784,1,1928
5,948,1,948,1,1968
5,1178,2,1176,1,1973
7,1983,2,978,2,1999
5,1728,2,1728,2,1976
5,764,2,680,1,1925
4,988,1,462,1,1973
6,1224,2,612,2,2009
6,987,1,483,1,1972
7,1908,2,915,2,1994
5,1144,1,1144,1,1956
6,1032,2,1032,2,1978
6,2060,2,1151,2,1988
5,1114,2,1114,1,2004
6,1724,2,1680,1,1967
6,1218,1,672,1,1972
4,841,1,721,1,1950
8,1088,2,1074,1,1986
5,864,1,864,1,1978
8,1826,3,1814,2,2005
5,1111,1,530,1,1920
5,912,2,912,1,1965
8,2270,3,1152,2,1999
5,923,1,876,1,1984
5,910,2,105,1,1953
3,1040,2,0,2,1950
4,1374,1,840,1,1920
9,2121,3,2121,2,2006
7,1959,2,847,2,2004
5,1539,2,927,1,1936
5,1268,1,1268,1,1954
4,960,1,960,1,1920
5,1097,2,1097,1,1994
7,1768,2,880,1,1914
6,1668,1,856,1,1950
6,1392,2,1392,1,1968
6,1412,1,780,1,1939
8,1630,3,1622,2,2008
7,1241,2,1241,1,2006
5,768,2,768,1,1970
6,1640,2,1296,1,1954
8,1419,2,1419,2,2007
5,1200,0,1200,3,1987
7,1479,2,725,1,1972
6,1414,2,1184,1,1958
5,1344,3,624,1,1916
5,2320,2,0,2,1948
4,788,0,788,1,1941
6,1441,2,855,2,1978
6,864,1,864,1,1959
4,864,2,864,1,1971
5,1776,3,1584,2,1958
5,1056,1,1056,1,1968
1,904,0,683,0,1922
7,1478,2,1470,2,2009
3,1605,1,840,2,1915
7,1790,2,873,2,1999
5,1868,2,780,2,1976
6,1218,1,672,1,1973
10,2084,3,2078,2,2007
6,1456,2,855,2,1976
5,1256,1,1256,1,1965
6,1509,2,783,2,2002
6,2320,1,1028,2,1945
6,2624,3,1370,2,1918
6,1375,1,780,1,1937
6,1095,1,588,1,1958
5,2200,0,1272,2,1900
7,1494,2,1494,2,2002
4,1346,1,560,1,1910
4,990,0,990,1,1994
6,2358,2,907,3,1908
5,833,1,833,1,1954
8,2482,3,1094,2,2005
8,2098,3,1030,2,2005
5,899,1,864,1,1967
9,2324,3,1175,3,2005
5,894,2,894,1,1972
6,1575,2,1575,2,1992
6,848,2,848,1,2004
7,1690,1,815,1,1916
5,1475,1,757,2,1977
6,1362,2,1362,2,2005
8,1456,2,1273,2,2003
7,2462,2,1392,2,2005
6,1796,2,780,1,1963
5,1472,1,702,1,1925
7,1604,2,1604,2,2006
5,1786,2,1499,2,1965
6,1661,1,992,1,1955
4,630,1,630,1,1970
10,2020,3,2006,2,2009
8,1665,2,810,2,2001
7,1836,2,1860,2,2004
5,2372,1,994,2,1892
5,1301,2,1145,1,1924
7,1240,3,1240,2,2006
6,1244,1,1244,1,1957
8,1795,2,1777,2,2002
6,1167,2,1158,2,1992
8,1578,3,1573,2,2008
8,1908,2,967,2,2002
6,1198,0,901,1,1920
8,1976,3,1976,2,2006
4,1328,1,686,1,1925
5,1268,1,1268,1,1977
7,1250,2,625,2,2006
5,1664,0,0,2,1965
6,1416,2,708,2,1968
6,2291,2,1214,2,1910
7,1710,2,1710,2,2004
5,616,1,616,1,1921
5,1050,1,1050,1,1961
6,1252,2,1602,1,1960
5,990,2,990,1,1994
5,1078,1,1078,1,1950
6,2087,2,832,2,1966
6,1429,2,1144,1,1960
5,1812,2,360,2,1900
6,1138,1,588,1,1958
5,1484,2,1484,2,1971
7,1557,2,1374,2,2003
4,1196,2,1196,1,1916
5,864,2,864,1,1958
5,1056,1,1056,1,1954
8,2526,3,1165,2,1994
7,1145,2,1145,2,2005
5,1092,1,1092,1,1962
5,1432,2,264,2,1910
6,1392,2,1392,1,1957
6,1456,2,728,2,2005
5,1053,1,1053,1,1959
6,3395,0,1440,2,1914
5,1287,2,1063,1,1959
5,778,1,740,1,1940
6,1092,1,525,1,1971
4,747,2,600,1,1926
7,1733,2,847,2,2003
8,1646,3,1638,2,2006
7,2149,2,1434,1,2003
5,1582,2,1624,2,1964
8,1742,2,916,1,1882
4,1040,2,1064,1,1963
5,912,1,912,1,1958
8,2198,3,1145,2,2000
5,1680,2,1680,2,1976
8,3447,3,728,3,1935
5,1316,2,926,1,1929
5,2601,2,612,3,1921
5,1365,2,765,1,1970
7,1258,3,1258,2,2006
8,1574,3,1574,2,2006
5,1096,1,1096,1,1969
6,987,1,483,1,1973
7,1708,2,976,2,2004
7,3493,3,1470,3,1880
8,1752,2,559,2,1988
7,2036,2,2136,2,1965
5,1344,1,896,1,1936
5,1109,1,372,1,1971
6,1470,2,794,2,1997
5,952,2,952,1,1951
6,1680,2,880,2,1988
6,1516,2,1516,1,1964
8,1734,3,1734,2,2007
8,1502,2,1488,1,1985
7,1626,2,764,2,2003
6,1469,1,756,1,1906
7,1550,2,1092,2,2006
7,1368,2,1368,2,2005
9,2596,3,1249,3,2006
5,1339,1,1029,1,1958
7,1839,2,1195,2,1998
8,2452,3,1117,3,2004
7,1509,2,783,2,2003
7,1434,2,1454,2,2001
6,1294,2,1278,2,1991
6,1680,1,840,2,1915
6,1721,2,928,2,1994
4,864,2,864,1,1972
7,1501,2,744,2,1999
5,2337,2,662,2,1900
7,1872,2,1845,2,1988
7,1530,3,1530,2,2004
6,1484,0,742,2,1914
4,630,1,630,1,1970
6,1200,1,1200,1,1923
6,2872,2,1330,2,1977
6,1445,2,1127,1,1964
6,1116,2,1116,1,1962
7,2090,2,1190,2,1984
5,943,2,943,1,1979
6,1608,1,976,2,1925
4,1296,2,0,2,1967
5,840,0,672,1,1930
7,1978,2,832,2,1968
7,999,2,944,1,1961
6,958,2,958,2,1976
8,2727,2,853,2,1932
5,1167,2,915,1,1920
6,1851,2,822,2,1964
6,1252,2,1252,1,1959
4,912,0,0,1,1947
5,1040,2,1040,1,1996
6,1525,2,756,2,2000
8,2452,2,1028,2,1998
8,3228,2,3200,3,1992
7,1166,2,856,2,2005
6,1846,1,1040,2,1949
5,1074,2,1056,1,1975
7,2344,3,1264,2,1996
5,893,2,845,1,1949
6,1493,2,1478,2,1997
8,1968,3,774,2,2009
6,1004,2,1004,1,1970
5,1456,1,810,1,1948
6,1635,2,1065,1,1923
6,1458,1,912,1,1948
6,1224,2,1224,2,1999
7,1506,2,1362,2,2005
5,2136,2,2136,2,1951
7,1416,2,696,2,1999
10,2633,3,2633,2,2001
8,1468,3,1468,2,2008
5,773,1,773,1,1953
5,1302,1,630,2,1971
5,900,2,900,1,1951
6,904,1,884,1,1926
6,1844,2,1844,2,1969
7,1555,2,1373,2,2005
5,1297,2,1297,1,1954
4,1529,1,0,2,1945
3,1733,2,0,2,1955
6,1710,2,832,2,1993
6,1868,2,585,3,1984
5,1126,2,1126,2,1977
7,1102,2,551,2,2004
6,1913,2,896,1,1928
8,1567,3,1520,2,2006
5,1050,1,1050,1,1956
8,1580,3,1580,2,2007
8,1314,2,1300,2,2009
6,2792,2,1510,2,1920
6,1688,2,616,2,1997
6,1232,2,1232,2,1984
6,1229,2,561,1,1980
3,1699,2,978,2,1900
4,936,2,936,1,1953
7,1948,2,847,2,2004
9,2224,3,1462,2,2004
5,2002,3,1001,2,1949
6,1993,2,825,2,1971
7,1861,2,916,2,2002
5,1041,1,1041,1,1959
6,986,1,960,1,1926
7,1405,2,1405,2,2003
7,1226,3,1226,2,2009
6,838,1,816,1,1918
3,864,1,864,1,1914
5,1006,0,1006,1,1959
9,1842,3,1842,0,1981
8,1710,3,1710,2,2007
8,2263,2,1141,2,1998
4,2290,2,777,2,1885
4,1100,1,1100,1,1960
6,2117,2,1205,2,1970
4,960,1,672,1,1956
7,1774,2,952,2,1931
6,1082,1,1082,1,1948
5,1122,2,924,1,1948
8,1338,2,1338,2,2001
6,1756,2,872,2,1996
6,1302,1,1302,2,1964
4,951,1,951,1,1936
6,987,1,483,1,1973
5,1090,2,1090,1,2005
5,1604,2,984,2,1941
6,1512,2,756,2,2000
6,1577,1,972,1,1939
7,2167,2,1192,2,1974
6,1212,2,506,1,1977
5,969,2,969,1,1975
6,1072,2,547,1,2005
8,1518,2,1518,1,2003
5,1188,1,1188,1,1962
7,1958,3,1026,2,2005
6,1069,2,1069,2,1977
8,1788,2,1753,2,2001
5,2414,2,954,2,1900
3,720,1,0,1,1949
6,1261,2,1261,1,1958
5,875,1,715,1,1931
5,672,1,672,1,1940
6,980,0,945,2,1975
3,1214,3,672,1,1915
5,1486,2,1486,1,1964
6,1660,1,715,1,1934
7,1217,2,1188,2,1990
7,1564,1,704,1,1941
7,1490,2,788,2,2004
8,3194,2,965,2,1934
7,1501,2,1490,2,1999
7,1320,2,660,2,2003
8,2612,3,1225,2,1998
8,3112,2,1360,2,1918
4,2230,1,795,1,1912
7,2022,2,1160,2,1977
7,2263,2,795,2,1977
7,1632,2,935,2,1998
8,1288,2,1260,1,1996
